"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOMP"
"1","P120","image-2","type-I","class-F","P120_image-2_type-I_class-F.JPG",59,99
"2","P39","image-1","type-I","class-F","P39_image-1_type-I_class-F.JPG",50,97.6666666666667
"3","P53","image-1","type-I","class-H","P53_image-1_type-I_class-H.JPG",35,95.4
"4","P73","image-1","type-I","class-F","P73_image-1_type-I_class-F.JPG",76,95.0714285714286
"5","P95","image-3","type-I","class-M","P95_image-3_type-I_class-M.JPG",75,91.75
"6","P121","image-5","type-I","class-M","P121_image-5_type-I_class-M.JPG",66,91.125
"7","P56","image-5","type-I","class-H","P56_image-5_type-I_class-H.JPG",73,90.7
"8","P19","image-4","type-I","class-C","P19_image-4_type-I_class-C.JPG",71,89.3
"9","P116","image-6","type-I","class-F","P116_image-6_type-I_class-F.JPG",78,89
"10","P85","image-3","type-I","class-F","P85_image-3_type-I_class-F.JPG",80,88.9285714285714
"11","P95","image-5","type-I","class-H","P95_image-5_type-I_class-H.JPG",75,88.5
"12","P111","image-1","type-I","class-H","P111_image-1_type-I_class-H.JPG",73,87.7142857142857
"13","P67","image-5","type-I","class-H","P67_image-5_type-I_class-H.JPG",64,87.25
"14","P28","image-6","type-I","class-F","P28_image-6_type-I_class-F.JPG",66,86.9
"15","P80","image-5","type-I","class-M","P80_image-5_type-I_class-M.JPG",82,86.375
"16","P68","image-1","type-I","class-M","P68_image-1_type-I_class-M.JPG",70,86.25
"17","P83","image-2","type-I","class-H","P83_image-2_type-I_class-H.JPG",74,84.25
"18","P39","image-3","type-S","class-F","P39_image-3_type-S_class-F.JPG",50,83.3
"19","P58","image-6","type-O","class-C","P58_image-6_type-O_class-C.JPG",99,82.7
"20","P82","image-6","type-I","class-H","P82_image-6_type-I_class-H.JPG",78,82
"21","P47","image-6","type-S","class-C","P47_image-6_type-S_class-C.JPG",69,81.7
"22","P60","image-1","type-S","class-C","P60_image-1_type-S_class-C.JPG",75,81.7
"23","P47","image-2","type-I","class-H","P47_image-2_type-I_class-H.JPG",69,81.3
"24","P91","image-4","type-S","class-C","P91_image-4_type-S_class-C.JPG",58,81.3
"25","P116","image-2","type-S","class-M","P116_image-2_type-S_class-M.JPG",78,80.9
"26","P71","image-2","type-I","class-H","P71_image-2_type-I_class-H.JPG",56,80.8333333333333
"27","P28","image-3","type-S","class-F","P28_image-3_type-S_class-F.JPG",66,80.75
"28","P68","image-4","type-S","class-F","P68_image-4_type-S_class-F.JPG",70,80.5
"29","P116","image-5","type-S","class-H","P116_image-5_type-S_class-H.JPG",78,80.25
"30","P47","image-1","type-I","class-M","P47_image-1_type-I_class-M.JPG",69,80.25
"31","P68","image-5","type-O","class-H","P68_image-5_type-O_class-H.JPG",70,80.1
